order	playlist_index	video_id	source_slug	imported	diarization	duration	title
131	10	mk4vcHtawSo	predictive-history-mk4vchtawso	no	yes	1:06:19	Game Theory #16:  Pax Judaica Rising (Re-Upload)
132	9	VbowBTJWKBo	predictive-history-vbowbtjwkbo	no	yes	58:23	Game Theory #17:  The Great Reset
133	8	xrmERlHUqBk	predictive-history-xrmerlhuqbk	no	yes	48:39	Game Theory #18:  Trump World Order
134	7	0HYET47Cc-E	predictive-history-0hyet47cc-e	yes	yes	54:27	Game Theory #19:  The Hollywood-Pentagon Complex
135	6	6M1Z_V3WgOk	predictive-history-6m1z-v3wgok	yes	yes	47:44	Great Books #9:  Dante's La Commedia
136	5	4EZUrGPgAos	predictive-history-4ezurgpgaos	no	yes	46:57	Great Books #9:  Dante (Re-Upload with Audio Fixed)
137	4	ue8y5e3HnHE	predictive-history-ue8y5e3hnhe	no	yes	1:23:07	Game Theory #20:  Mid-Term Examination
138	3	Ts-AA6LQf6I	predictive-history-ts-aa6lqf6i	no	yes	58:48	Game Theory #21:  World War Trump
139	2	txgPfnXgzcE	predictive-history-txgpfnxgzce	no	yes	55:55	Game Theory #22:  Twilight of the Nation-State
140	1	wGpdMYa2bME	predictive-history-wgpdmya2bme	no	yes	47:47	Great Books #10:  Dante's Hierarchy of Hell
141		o2Nq--qU9Kc	predictive-history-o2nq-qu9kc	no	yes		
